54332020097905,ABRIR AM ,MEDIDOR - ENCONTRADO,MEDIDOR - INSTALADO,CHAVE DE AFERIÇÃO ENCONTRADA,CHAVE DE AFERIÇÃO INSTALADA,TC´S ENCONTRADO,TC´S INSTALADOS,TROCA DA CAIXA ,POLO,EQUIPE,DATA DO SERVIÇO,HORÁRIO INÍCIO,HORÁRIO FIM,OBSERVAÇÃO,COLABORADORA (BAIXA),DATA DA BAIXA,NOTA,AM/REMANEJO,ANEXO,OBS,FAIXA
2000455560,HG483,31110097274,34050001883,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,23/09/2022,15:58,16:29,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,ANDRIELY,13/10/2022,,,,,
2000453713,HG481,31110097320,34050001875,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,24/09/2022,10:01,10:21,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,RAQUEL,04/10/2022,,,,,
2000455570,HF844,31110097231,34050001891,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,24/09/2022,11:21,11:45,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,RAQUEL,04/10/2022,,,,,
2000443640,BY352,31110087392,34050001913,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,26/09/2022,16:21,16:39,MEDIDOR APAGADO SEM REGISTRAR O CONSUMO. FOI NORMALIZADO COM A TROCA DO MEDIDOR .,RAQUEL,04/10/2022,,,,,
2000433277,S/PLACA,31110092272,SEM TROCA,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,27/09/2022,10:20,11:15,"EM CAMPO MEDIDOR ENCONTRADO FURTADO, FOI NORMALIZADO COM SUBSTITUIÇÃO DO MEDIDOR E CHAVE DE AFERIÇÃO",ANDRIELY,09/11/2022,,,,,
2000458490,HF817,31110091578,34050001921,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,27/09/2022,14:39,15:10,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,ANDRIELY,09/11/2022,,,,,
2000430511,S/PLACA,31110083630,34050001905,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,28/09/2022,10:20,11:10,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,RAQUEL,04/10/2022,,,,,
2000432986,BD969,31110041007,34050001557,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,28/09/2022,14:10,15:20,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,RAQUEL,04/10/2022,,,,,
2000431644,CD651,31110084512,34050001565,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,29/09/2022,16:50,17:11,MEDIDOR APAGADO SEM REGISTRAR O CONSUMO. FOI NORMALIZADO COM A TROCA DO MEDIDOR .,RAQUEL,04/10/2022,,,,,
2000442776,709,31110090296,34050001522,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,29/09/2022,14:41,15:22,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,RAQUEL,04/10/2022,,,,,
2000484216,1546,AUSENTE,32110021380,55090805295,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,29/09/2022,15:10,15:31,EM CAMPO MEDIDOR ENCONTRADO NÃO CADASTRADO NA INSTALAÇÃO,ANDRIELY,09/11/2022,,,,,
2000448987,CA828,31110090997,34050001514,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,30/09/2022,13:07,15:30,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,ANDRIELY,13/10/2022,,,,,
2000455492,HG487,31110096944,34050001549,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,03/10/2022,14:13,15:10,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,ANDRIELY,13/10/2022,,,,,
2000443689,HF686,31110090512,34050002006,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,06/10/2022,14:33,15:09,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,ANDRIELY,13/10/2022,,,,,
2000448989,BV707,31110093686,34050001999,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,06/10/2022,10:10,10:30,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,ANDRIELY,13/10/2022,,,,,
2000452540,BV722,31110088917,34050001263,S/CHAVE,NÃO,SIM,NÃO,SIM,MARABÁ,MAB707,10/10/2022,14:10,15:29,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,ANDRIELY,13/10/2022,,,,,
2000479453,446,AUSENTE,34050001220,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,10/10/2022,17:10,17:30,"MEDIDOR ENCONTRADO FURTADO, FOI NORMALIZADO COM SUBSTITUIÇÃO DO MEDIDOR",ANDRIELY,13/10/2022,,,,,
2000441683,187,31110090920,34050001255,55090804435,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,13/10/2022,11:03,11:20,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,ANDRIELY,03/11/2022,,,,,
2000436940,BE697,31110095271,34050001247,S/CHAVE,NÃO,SIM,NÃO,SIM,MARABÁ,MAB707,14/10/2022,15:32,16:38,MEDIDOR APAGADO SEM REGISTRAR O CONSUMO. FOI NORMALIZADO COM A TROCA DO MEDIDOR .,ANDRIELY,03/11/2022,,,,,
2000448984,IH549,31110093759,34050001212,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,17/10/2022,16:41,17:21,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,ANDRIELY,03/11/2022,,,,,
2000449785,IH529,31110093066,34050001239,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,17/10/2022,15:10,16:11,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,ANDRIELY,03/11/2022,,,,,
2000431013,BT226,31110083850,34050001441,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,19/10/2022,16:50,17:21,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,ANDRIELY,09/11/2022,,,,,
2000435105,11964,31110094275,34050001425,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,19/10/2022,09:57,11:23,MEDIDOR APAGADO SEM REGISTRAR O CONSUMO. FOI NORMALIZADO COM A TROCA DO MEDIDOR .,ANDRIELY,03/11/2022,,,,,
2000439004,3178,31110089875,34050001395,S/CHAVE,55090811845,SIM,NÃO,SIM,MARABÁ,MAB707,20/10/2022,09:28,10:56,MEDIDOR APAGADO SEM REGISTRAR O CONSUMO. FOI NORMALIZADO COM A TROCA DO MEDIDOR .,ANDRIELY,25/11/2022,,,,,
2000528545,GG757,31110097681,34050001409,S/CHAVE,NÃO,SIM,NÃO,SIM,MARABÁ,MAB707,20/10/2022,14:20,15:46,MEDIDOR APAGADO SEM REGISTRAR O CONSUMO. FOI NORMALIZADO COM A TROCA DO MEDIDOR .,ANDRIELY,03/11/2022,,,,,
2000431910,BU638,31110083168,34050001417,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,21/10/2022,16:20,17:16,MEDIDOR APAGADO SEM REGISTRAR O CONSUMO. FOI NORMALIZADO COM A TROCA DO MEDIDOR .,ANDRIELY,03/11/2022,,,,,
2000435591,BW932,31110082790,34050001433,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,21/10/2022,14:38,16:03,MEDIDOR APAGADO SEM REGISTRAR O CONSUMO. FOI NORMALIZADO COM A TROCA DO MEDIDOR .,ANDRIELY,03/11/2022,,,,,
2000437293,GP467,AUSENTE,34050001360,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,24/10/2022,15:20,16:10,"MEDIDOR ENCONTRADO FURTADO, FOI NORMALIZADO COM SUBSTITUIÇÃO DO MEDIDOR",ANDRIELY,03/11/2022,,,,,
2000435649,GP461,AUSENTE,34050001379,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,25/10/2022,09:37,10:24,"MEDIDOR ENCONTRADO FURTADO, FOI NORMALIZADO COM SUBSTITUIÇÃO DO MEDIDOR",ANDRIELY,25/11/2022,,,,,
2000435762,BQ721,31110094100,34050001352,S/CHAVE,55090811841,SIM,NÃO,NÃO,MARABÁ,MAB707,25/10/2022,14:21,15:22,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,ANDRIELY,09/11/2022,,,,,
2000434718,9395,AUSENTE,34050001344,S/CHAVE,55090811526,SIM,NÃO,SIM,MARABÁ,MAB707,26/10/2022,10:11,11:22,"MEDIDOR ENCONTRADO FURTADO, FOI NORMALIZADO COM SUBSTITUIÇÃO DO MEDIDOR E CHAVE DE AFERIÇÃO",ANDRIELY,09/11/2022,,,,,
2000441654,263,AUSENTE,34050001336,S/CHAVE,55090811522,SIM,NÃO,SIM,MARABÁ,MAB707,26/10/2022,14:31,16:03,"MEDIDOR ENCONTRADO FURTADO, FOI NORMALIZADO COM SUBSTITUIÇÃO DO MEDIDOR E CHAVE DE AFERIÇÃO",ANDRIELY,09/11/2022,,,,,
2000439100,IH537,31110088615,34050001387,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,27/10/2022,17:10,17:51,MEDIDOR APAGADO SEM REGISTRAR O CONSUMO. FOI NORMALIZADO COM A TROCA DO MEDIDOR .,ANDRIELY,08/11/2022,,,,,
2000436346,HH575,AUSENTE,34050001280,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,29/10/2022,09:38,11:16,"MEDIDOR ENCONTRADO FURTADO, FOI NORMALIZADO COM SUBSTITUIÇÃO DO MEDIDOR",ANDRIELY,08/11/2022,,,,,
2000443635,1985,31110092833,34050001298,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,01/11/2022,10:48,11:36,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,ANDRIELY,08/11/2022,,,,,
2000435838,GP471,AUSENTE,34050001328,S/CHAVE,55090811521,SIM,NÃO,SIM,MARABÁ,MAB707,03/11/2022,10:31,11:10,"MEDIDOR ENCONTRADO FURTADO, FOI NORMALIZADO COM SUBSTITUIÇÃO DO MEDIDOR",ANDRIELY,25/11/2022,,,,,
2000441356,165,AUSENTE,34050001301,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,07/11/2022,15:16,17:10,"MEDIDOR ENCONTRADO FURTADO, FOI NORMALIZADO COM SUBSTITUIÇÃO DO MEDIDOR",ANDRIELY,09/11/2022,,,,,
2000431364,S/PLACA,AUSENTE,34050001310,S/CHAVE,55090811523,SIM,NÃO,SIM,MARABÁ,MAB707,08/11/2022,14:31,15:41,"MEDIDOR ENCONTRADO FURTADO, FOI NORMALIZADO COM SUBSTITUIÇÃO DO MEDIDOR E CHAVE DE AFERIÇÃO",ANDRIELY,01/12/2022,,,,,
2000433169,BT278,AUSENTE,34050001271,S/CHAVE,NÃO,SIM,NÃO,SIM,MARABÁ,MAB707,08/11/2022,10:20,11:15,MEDIDOR APAGADO SEM REGISTRAR O CONSUMO. FOI NORMALIZADO COM A TROCA DO MEDIDOR .,ANDRIELY,09/11/2022,,,,,
2000437427,GG314,31110081270,34050001174,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,10/11/2022,15:30,16:10,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,ANDRIELY,30/11/2022,,,,,
2000463179,S/PLACA,AUSENTE,34050001204,55120802165,55090811525,SIM,NÃO,NÃO,MARABÁ,MAB707,11/11/2022,10:02,11:45,"EM CAMPO MEDIDOR ENCONTRADO FURTADO, FOI NORMALIZADO COM SUBSTITUIÇÃO DO MEDIDOR E CHAVE DE AFERIÇÃO",ANDRIELY,01/12/2022,,,,,
2000451953,GX564,AUSENTE,34050001190,S/CHAVE,55090811519,SIM,NÃO,SIM,MARABÁ,MAB707,12/11/2022,10:00,11:17,"EM CAMPO MEDIDOR ENCONTRADO FURTADO, FOI NORMALIZADO COM SUBSTITUIÇÃO DO MEDIDOR E CHAVE DE AFERIÇÃO",ANDRIELY,01/12/2022,,,,,
2000447297,HH381,31110090644,34050001166,S/CHAVE,55090811520,SIM,NÃO,SIM,MARABÁ,MAB707,14/11/2022,14:07,16:18,MEDIDOR APAGADO SEM REGISTRAR O CONSUMO E CAIXA QUEBRADA. FOI NORMALIZADO COM A TROCA DO MEDIDOR,ANDRIELY,01/12/2022,,,,,
2000429704,BR479,31110083893,34050001115,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,18/11/2022,16:10,16:41,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,ANDRIELY,30/11/2022,,,,,
2000452574,CA897,31110096740,34050001182,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,18/11/2022,15:05,15:29,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,ANDRIELY,30/11/2022,,,,,
2000432882,HH559,31110091306,34050001107,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,21/11/2022,16:11,16:21,MEDIDOR APAGADO SEM REGISTRAR O CONSUMO. FOI NORMALIZADO COM A TROCA DO MEDIDOR .,ANDRIELY,30/11/2022,,,,,
2000433900,HH564,31110084350,34050001093,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,22/11/2022,10:31,10:50,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,ANDRIELY,30/11/2022,,,,,
2000437291,HG452,31110094143,34050001123,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,22/11/2022,15:10,16:11,"EM CAMPO MEDIDOR ENCONTRADO QUEIMADO, FOI NORMALIZADO COM SUBSTITUIÇÃO DO MEDIDOR",ANDRIELY,30/11/2022,,,,,
2000434266,HF811,31110026180,34050001140,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,26/11/2022,14:58,15:21,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,ANDRIELY,30/11/2022,,,,,
2000435431,HG454,31110094593,34050001131,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB707,27/11/2022,09:21,09:35,MEDIDOR APAGADO SEM REGISTRAR O CONSUMO. FOI NORMALIZADO COM A TROCA DO MEDIDOR .,ANDRIELY,30/11/2022,,,,,
2000443740,II868,31110091144,32140003270,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB715,09/02/2023,16:27,17:50,"EM CAMPO MEDIDOR ENCONTRADO QUEIMADO, FOI NORMALIZADO COM SUBSTITUIÇÃO DO MEDIDOR",REBECCA,13/02/2023,,,,,
2000455581,BU018,31110091780,32140003203,S/CHAVE,NÃO,SIM,NÃO,SIM,MARABÁ,MAB715,09/02/2023,10:00,12:17,"EM CAMPO MEDIDOR E CAIXA DANIFICADO , FOI NORMALIZADO COM A SUBSTITUIÇÃO DO MEDIDOR E CAIXA",ANDRIELY,20/02/2023,,,,,
2000437195,CD383,31110093996,32140003246,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB715,17/02/2023,10:21,11:39,MEDIDOR APAGADO SEM REGISTRAR O CONSUMO. FOI NORMALIZADO COM A TROCA DO MEDIDOR .,ANDRIELY,20/02/2023,,,,,
2000443205,698,31110090440,32140003815,S/CHAVE,NÃO,SIM,NÃO,SIM,MARABÁ,MAB715,17/02/2023,09:27,11:40,"EM CAMPO MEDIDOR E CAIXA DANIFICADO , FOI NORMALIZADO COM A SUBSTITUIÇÃO DO MEDIDOR E CAIXA",ANDRIELY,24/02/2023,,,,,
2000463202,11697,31110104670,32140003890,S/CHAVE,55090815310,SIM,NÃO,NÃO,MARABÁ,MAB715,20/02/2023,09:49,10:38,"MEDIDOR ENCONTRADO FURTADO, FOI NORMALIZADO COM SUBSTITUIÇÃO DO MEDIDOR E CHAVE DE AFERIÇÃO",REBECCA,01/03/2023,,,,,
2000434167,S/PLACA,31110089727,32140003220,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB715,22/02/2023,15:00,15:50,MEDIDOR APAGADO SEM REGISTRAR O CONSUMO. FOI NORMALIZADO COM A TROCA DO MEDIDOR .,REBECCA,02/03/2023,,,,,
2000431329,BT236,AUSENTE,32140003912,S/CHAVE,55090815309,SIM,NÃO,SIM,MARABÁ,MAB715,23/02/2023,13:02,16:59,"EM CAMPO MEDIDOR ENCONTRADO FURTADO, FOI NORMALIZADO COM SUBSTITUIÇÃO DO MEDIDOR E CHAVE DE AFERIÇÃO",REBECCA,01/03/2023,,,,,
2000443241,520,31110091160,34050001662,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB715,06/03/2023,16:10,17:11,MEDIDOR APAGADO SEM REGISTRAR O CONSUMO. FOI NORMALIZADO COM A TROCA DO MEDIDOR .,ANDRIELY,10/03/2023,,,,,
2000447216,718,31110093341,34050001670,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB715,06/03/2023,15:31,15:52,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,ANDRIELY,20/03/2023,,,,,
2000434892,GP131,31110082595,34050001654,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB715,07/03/2023,16:31,17:09,NO LOCAL MEDIDOR ENCONTRADO COM O VISOR APAGADO. FOI NORMALIZADO COM A TROCA DO MEDIDOR,REBECCA,10/03/2023,,,,,
2000449618,II445,31110090571,34050001689,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB715,07/03/2023,16:05,17:01,MEDIDOR APAGADO SEM REGISTRAR O CONSUMO. FOI NORMALIZADO COM A TROCA DO MEDIDOR .,REBECCA,10/03/2023,,,,,
2000443339,667,31110092604,34050001484,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB715,08/03/2023,16:20,17:10,MEDIDOR APAGADO SEM REGISTRAR O CONSUMO. FOI NORMALIZADO COM A TROCA DO MEDIDOR .,REBECCA,14/03/2023,,,,,
2000454636,980,31110094488,34050001646,S/CHAVE,NÃO,SIM,NÃO,NÃO,MARABÁ,MAB715,08/03/2023,15:41,16:10,MEDIDOR APAGADO SEM REGISTRAR O CONSUMO. FOI NORMALIZADO COM A TROCA DO MEDIDOR .,REBECCA,14/03/2023,,,,,
2000455585,3552,31110097070,34050001638,S/CHAVE,55090815313,SIM,NÃO,SIM,MARABÁ,MAB715,08/03/2023,14:15,15:01,"NO LOCAL CAIXA QUEBRADA, SEM CHAVE DE AFERIÇÃO, FOI SUBTITUIDO MEDIDOR E CHAVE DE AFERIÇÃO. FOI NORMALIZADO COM A INSTALAÇÃO DE UM NOVO PADRÃO.",ANDRIELY,20/03/2023,,,,,
